Grade,Tensile Strength (MPa),Tear Resistance (mN),Brightness (%),Opacity (%),Whiteness (%),Production Volume (tons),Price ($/ton),Year
A,45.2,350,92,94,87,1200,580,2020
B,52.5,420,88,90,84,950,610,2020
C,48.0,390,85,89,83,1300,600,2020
D,55.0,450,91,93,86,1100,620,2020
E,50.5,410,89,92,85,1000,590,2020
A,47.0,360,91,93,88,1250,590,2021
B,53.0,430,87,89,83,980,615,2021
C,49.0,400,86,90,84,1320,605,2021
D,56.0,455,92,94,87,1150,625,2021
E,51.0,415,90,91,86,1020,595,2021
A,48.5,370,93,95,89,1270,600,2022
B,54.0,440,88,90,84,990,620,2022
C,50.0,405,87,91,85,1350,610,2022
D,57.0,460,93,95,88,1180,630,2022
E,52.0,420,91,92,87,1040,600,2022
A,49.5,380,92,94,90,1290,610,2023
B,55.0,450,89,91,85,1000,625,2023
C,51.0,410,88,92,86,1370,615,2023
D,58.0,465,94,96,89,1200,635,2023
E,53.0,425,92,93,88,1060,605,2023
A,50.5,390,94,96,91,1300,620,2024
B,56.0,460,90,92,86,1020,630,2024
C,52.0,415,89,93,87,1400,620,2024
D,59.0,470,95,97,90,1220,640,2024
E,54.0,430,93,94,89,1080,610,2024
